nQ_bo9d_CeO4gf19vly5bw	Thaisanuk Restaurant	2.0
jpHVV9egbixc56MwP8rzbA	Ricebox Take Away Food Shops	2.0
KAJ18v-GByqi2THsminjaA	Taste Of Scotland	2.0
1JEx6hQwk7PpV5MA3B2hQg	Kingfisher	2.0
wBOJAjuDW0VeJRgd4DKiXw	Tesco Express	1.5
WxBZC1ry1tCZVmIO1LkIHQ	Zucchero Cafe Bar	1.5
TqvCZ4jsHe1ADQXy7ypGgQ	Pizza Hut UK	1.5
4hC0-zfvly7g4gJWq6hPKA	Morelli's Fast Food	1.5
HYJt_CwyYX4qX_YPQlO2_w	kfc	1.0
